study,system,model,condition,run,metric,unit,value
serving_reference,triton,BERT-base,concurrency=16,5,run_p90_ms,ms,20.621
serving_reference,triton,BERT-base,concurrency=16,5,run_p99_ms,ms,25.573
serving_reference,triton,BERT-base,concurrency=32,1,throughput,requests/s,876.699
serving_reference,triton,BERT-base,concurrency=32,1,mean_ms,ms,36.437
serving_reference,triton,BERT-base,concurrency=32,1,run_p50_ms,ms,36.785000000000004
serving_reference,triton,BERT-base,concurrency=32,1,run_p90_ms,ms,38.514
serving_reference,triton,BERT-base,concurrency=32,1,run_p99_ms,ms,44.658
serving_reference,triton,BERT-base,concurrency=32,2,throughput,requests/s,885.038
serving_reference,triton,BERT-base,concurrency=32,2,mean_ms,ms,36.089
serving_reference,triton,BERT-base,concurrency=32,2,run_p50_ms,ms,35.721000000000004
serving_reference,triton,BERT-base,concurrency=32,2,run_p90_ms,ms,40.599000000000004
serving_reference,triton,BERT-base,concurrency=32,2,run_p99_ms,ms,42.477000000000004
serving_reference,triton,BERT-base,concurrency=32,3,throughput,requests/s,883.277
serving_reference,triton,BERT-base,concurrency=32,3,mean_ms,ms,36.167
serving_reference,triton,BERT-base,concurrency=32,3,run_p50_ms,ms,36.047000000000004
serving_reference,triton,BERT-base,concurrency=32,3,run_p90_ms,ms,40.167
serving_reference,triton,BERT-base,concurrency=32,3,run_p99_ms,ms,42.601
serving_reference,triton,BERT-base,concurrency=32,4,throughput,requests/s,898.971
serving_reference,triton,BERT-base,concurrency=32,4,mean_ms,ms,35.532
serving_reference,triton,BERT-base,concurrency=32,4,run_p50_ms,ms,36.467
serving_reference,triton,BERT-base,concurrency=32,4,run_p90_ms,ms,37.704
serving_reference,triton,BERT-base,concurrency=32,4,run_p99_ms,ms,43.162
serving_reference,triton,BERT-base,concurrency=32,5,throughput,requests/s,884.099
serving_reference,triton,BERT-base,concurrency=32,5,mean_ms,ms,36.13
serving_reference,triton,BERT-base,concurrency=32,5,run_p50_ms,ms,36.593
serving_reference,triton,BERT-base,concurrency=32,5,run_p90_ms,ms,37.338
serving_reference,triton,BERT-base,concurrency=32,5,run_p99_ms,ms,39.187
model_comparison,triton,BERT-base,concurrency=16,1,throughput,requests/s,1432.27
model_comparison,triton,BERT-base,concurrency=16,1,mean_ms,ms,11.143
model_comparison,triton,BERT-base,concurrency=16,2,throughput,requests/s,1042.89
model_comparison,triton,BERT-base,concurrency=16,2,mean_ms,ms,15.307
model_comparison,triton,BERT-base,concurrency=16,3,throughput,requests/s,884.092
model_comparison,triton,BERT-base,concurrency=16,3,mean_ms,ms,18.065
model_comparison,triton,BERT-base,concurrency=16,4,throughput,requests/s,896.315
model_comparison,triton,BERT-base,concurrency=16,4,mean_ms,ms,17.814
model_comparison,triton,BERT-base,concurrency=16,5,throughput,requests/s,856.238
model_comparison,triton,BERT-base,concurrency=16,5,mean_ms,ms,18.649
model_comparison,triton,GPT-2,concurrency=16,1,throughput,requests/s,530.754
model_comparison,triton,GPT-2,concurrency=16,1,mean_ms,ms,30.107
model_comparison,triton,GPT-2,concurrency=16,2,throughput,requests/s,531.685
model_comparison,triton,GPT-2,concurrency=16,2,mean_ms,ms,30.047
model_comparison,triton,GPT-2,concurrency=16,3,throughput,requests/s,559.117
model_comparison,triton,GPT-2,concurrency=16,3,mean_ms,ms,28.574
model_comparison,triton,GPT-2,concurrency=16,4,throughput,requests/s,534.852
model_comparison,triton,GPT-2,concurrency=16,4,mean_ms,ms,29.858
model_comparison,triton,GPT-2,concurrency=16,5,throughput,requests/s,546.969
model_comparison,triton,GPT-2,concurrency=16,5,mean_ms,ms,29.203
burst_reference,triton,BERT-base,schedule=4_32_4;phase=1;concurrency=4,1,run_median_ms,ms,8.497886
burst_reference,triton,BERT-base,schedule=4_32_4;phase=2;concurrency=32,1,run_median_ms,ms,53.740942000000004
